name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Break the Prison,Action,Candy Mobile,"10,000,000 - 50,000,000",19 August 2016,Rated for 7+,3.9,4 (3.1 - 4.0)
Rolling Ball,Action,Candy Mobile,"500,000 - 1,000,000",3 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Escape Action,Puzzle,Candy Mobile,"10,000,000 - 50,000,000",23 January 2014,Rated for 3+,4.1,5 (4.1 - 5.0)
Lose Weight - Slimming!,Action,Candy Mobile,"10,000,000 - 50,000,000",19 June 2015,Rated for 3+,3.3,4 (3.1 - 4.0)
Fishing Mania 3D,Sports,Candy Mobile,"5,000,000 - 10,000,000",11 August 2015,Rated for 16+,4.2,5 (4.1 - 5.0)
Toilet & Bathroom Rush,Action,Candy Mobile,"10,000,000 - 50,000,000",30 August 2014,Rated for 3+,3.6,4 (3.1 - 4.0)
Bunny Skater,Adventure,Candy Mobile,"10,000,000 - 50,000,000",19 November 2013,Rated for 3+,4.2,5 (4.1 - 5.0)
Zombie Escape,Adventure,Candy Mobile,"5,000,000 - 10,000,000",27 January 2014,Rated for 12+,3.9,4 (3.1 - 4.0)
Solitaire Collection,Card,Candy Mobile,"10,000,000 - 50,000,000",29 October 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Robot Invasion,Arcade,Candy Mobile,"100,000 - 500,000",19 September 2016,Rated for 16+,3.9,4 (3.1 - 4.0)
Tap Tap Glider,Casual,Candy Mobile,"5,000,000 - 10,000,000",13 August 2012,Rated for 3+,3.9,4 (3.1 - 4.0)
Clumsy Bird,Arcade,Candy Mobile,"10,000,000 - 50,000,000",19 March 2014,Rated for 3+,3.8,4 (3.1 - 4.0)
Shadow Fighting Battle 3D,Action,Trigger Team,"500,000 - 1,000,000",26 July 2016,Rated for 16+,3.8,4 (3.1 - 4.0)
Real Steel World Robot Boxing,Action,Reliance Big Entertainment (UK) Private Limited,"10,000,000 - 50,000,000",30 December 2016,Rated for 7+,4.4,5 (4.1 - 5.0)
Gods of Rome,Action,Gameloft,"10,000,000 - 50,000,000",28 September 2016,Rated for 16+,4.3,5 (4.1 - 5.0)
Anger of Stick 5,Action,J-PARK,"10,000,000 - 50,000,000",13 January 2017,Rated for 12+,4.4,5 (4.1 - 5.0)
Modern Combat 5: Blackout,Action,Gameloft,"50,000,000 - 100,000,000",19 December 2016,Rated for 16+,4.2,5 (4.1 - 5.0)
Fight Club - Fighting Games,Action,Integer Games,"1,000,000 - 5,000,000",5 December 2016,Rated for 18+,4.5,5 (4.1 - 5.0)
Kung Fu Fighting,Action,Acuspunsa,"1,000,000 - 5,000,000",17 January 2017,Rated for 12+,4.0,4 (3.1 - 4.0)
Vector 2,Arcade,NEKKI,"10,000,000 - 50,000,000",20 October 2016,Rated for 7+,4.4,5 (4.1 - 5.0)
Vector,Arcade,NEKKI,"100,000,000 - 500,000,000",18 July 2016,Rated for 7+,4.3,5 (4.1 - 5.0)
Shadow Fight 2 Theme,Personalisation,NEKKI,"1,000,000 - 5,000,000",31 December 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
11x11: Football manager,Sports,NEKKI,"100,000 - 500,000",20 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Vector Full,Arcade,NEKKI,"100,000 - 500,000",18 July 2016,Rated for 7+,4.2,5 (4.1 - 5.0)
Banzai Surfer Free,Arcade,NEKKI,"1,000,000 - 5,000,000",5 April 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
Shadow Fight 2 for Android TV,Action,NEKKI,"10,000 - 50,000",27 April 2015,Rated for 7+,3.1,4 (3.1 - 4.0)
Vector 2 Premium,Arcade,NEKKI,"1,000 - 5,000",1 December 2016,Rated for 7+,4.3,5 (4.1 - 5.0)
Tiny Bouncer,Arcade,NEKKI,"100,000 - 500,000",20 October 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Meemz: GIFs & funny memes,Entertainment,NEKKI,"10,000 - 50,000",28 June 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Space Warrior: The Origin,Arcade,NEKKI,"10,000 - 50,000",15 November 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Banzai Surfer,Arcade,NEKKI,"1,000 - 5,000",5 April 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
N.O.V.A. 3: Freedom Edition,Action,Gameloft,"10,000,000 - 50,000,000",12 February 2015,Rated for 16+,4.5,5 (4.1 - 5.0)
Injustice: Gods Among Us,Action,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",8 December 2016,Rated for 16+,4.4,5 (4.1 - 5.0)
Sniper Fury: best shooter game,Action,Gameloft,"10,000,000 - 50,000,000",15 December 2016,Rated for 16+,4.2,5 (4.1 - 5.0)
DC Legends,Role Playing,Warner Bros. International Enterprises,"5,000,000 - 10,000,000",19 December 2016,Rated for 12+,4.4,5 (4.1 - 5.0)
Batman v Superman Who Will Win,Adventure,Warner Bros. International Enterprises,"5,000,000 - 10,000,000",16 March 2016,Rated for 7+,3.9,4 (3.1 - 4.0)
300: Seize Your Glory,Action,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",5 February 2014,Unrated,4.1,5 (4.1 - 5.0)
