name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Anole Launcher,Personalisation,DoMobile Lab,"10,000 - 50,000",10 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Touch Master - Assistive Touch,Tools,DoMobile Lab,"10,000 - 50,000",28 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
MixNote NotePad Notes,Productivity,DoMobile Lab,"100,000 - 500,000",8 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Share Phone,Tools,DoMobile Lab,"100,000 - 500,000",14 July 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
LONPIC - long picture,Photography,DoMobile Lab,"1,000 - 5,000",15 November 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Share+,Tools,DoMobile Lab,"100,000 - 500,000",21 September 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Next - plan & remind,Tools,DoMobile Lab,"1,000 - 5,000",16 November 2016,Rated for 3+,4.7,5 (4.1 - 5.0)
Screen Lock - with Simulator,Tools,softwego,"10,000,000 - 50,000,000",11 April 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
Call Recorder,Tools,softwego,"500,000 - 1,000,000",25 May 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
App Locker - App Protector,Tools,softwego,"5,000,000 - 10,000,000",7 July 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Craked Screen - Prank Fun Game,Casual,softwego,"10,000,000 - 50,000,000",23 July 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Lie Detector Simulator,Casual,softwego,"5,000,000 - 10,000,000",27 April 2015,Rated for 3+,3.5,4 (3.1 - 4.0)
App Locker,Tools,softwego,"500,000 - 1,000,000",7 July 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
X-ray Scanner Prank,Entertainment,softwego,"500,000 - 1,000,000",28 April 2015,Rated for 3+,2.7,3 (2.1 - 3.0)
Personality Test Prank,Casual,softwego,"5,000,000 - 10,000,000",27 April 2015,Rated for 12+,3.4,4 (3.1 - 4.0)
Transparent Screen Launcher,Personalisation,softwego,"1,000,000 - 5,000,000",28 April 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Photo Camera,Photography,softwego,"100,000 - 500,000",27 March 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Call Blocker - Blacklist,Communication,softwego,"100,000 - 500,000",25 May 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Scare Your Friends Free Game,Casual,softwego,"1,000,000 - 5,000,000",28 April 2015,Rated for 12+,3.5,4 (3.1 - 4.0)
Annoying Dude Sounds Fun Game,Casual,softwego,"1,000,000 - 5,000,000",5 May 2015,Rated for 12+,3.3,4 (3.1 - 4.0)
Fake SMS Prank,Entertainment,softwego,"100,000 - 500,000",13 March 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Smart AppLock  (App Protect),Tools,ThinkYeah Mobile (AppLock & GalleryVault),"5,000,000 - 10,000,000",23 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Helper(Smart App Lock),Tools,SpSoft,"500,000 - 1,000,000",5 January 2014,Rated for 3+,4.2,5 (4.1 - 5.0)
App Lock Pattern PIN(Passcode),Tools,Biometric Solution,"100,000 - 500,000",14 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
AppLock,Tools,Fingerprint Scan Security,"1,000,000 - 5,000,000",20 August 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Fingerprint PassCode App Lock,Tools,Biometric Solution,"500,000 - 1,000,000",28 December 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Fingerprint Lock Screen Prank,Personalisation,Biometric Solution,"100,000 - 500,000",2 July 2016,Rated for 3+,3.5,4 (3.1 - 4.0)
SIM Card and contacts copying,Productivity,Biometric Solution,"100,000 - 500,000",12 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Fingerprint Pin App Lock,Tools,Biometric Solution,"10,000 - 50,000",14 January 2017,Rated for 3+,3.8,4 (3.1 - 4.0)
PIN Lock Screen Iphone Lock,Tools,Biometric Solution,"10,000 - 50,000",1 July 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Calculator Plus,Productivity,Biometric Solution,"10,000 - 50,000",30 October 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
Call Blocker - Blacklist,Tools,Biometric Solution,"1,000 - 5,000",25 May 2016,Rated for 3+,3.4,4 (3.1 - 4.0)
Scientific Calculator,Productivity,Biometric Solution,"50,000 - 100,000",16 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Background Wallpapers HD,Personalisation,Biometric Solution,"1,000 - 5,000",8 May 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
AppLock,Tools,com.amazing.kincan,"1,000,000 - 5,000,000",19 September 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
AppLock Theme - Sea,Tools,SailingLab,"10,000 - 50,000",15 January 2017,Rated for 3+,4.7,5 (4.1 - 5.0)
Lock screen,Tools,Green Banana Studio,"10,000,000 - 50,000,000",19 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Lock screen,Tools,Green Banana Studio,"1,000,000 - 5,000,000",25 October 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Lock screen,Tools,kunkun apps,"5,000,000 - 10,000,000",17 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
OS9 Lock Screen,Tools,smart lock screen,"1,000,000 - 5,000,000",6 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Screen Off and Lock,Tools,Katecca,"10,000,000 - 50,000,000",21 January 2014,Rated for 3+,4.1,5 (4.1 - 5.0)
passcode lock screen,Tools,302 BSoft,"1,000,000 - 5,000,000",27 December 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
lock screen - water droplet,Tools,Lock Screen hn,"1,000,000 - 5,000,000",6 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Lock Screen,Tools,WangQi,"1,000,000 - 5,000,000",24 April 2013,Rated for 3+,3.9,4 (3.1 - 4.0)
Fireflies lockscreen,Tools,App Free Studio,"10,000,000 - 50,000,000",28 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Door Lock Screen,Tools,Hi Logix,"1,000,000 - 5,000,000",13 December 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
Lock screen password,Tools,Green Banana Studio,"1,000,000 - 5,000,000",11 April 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
messaging - SMS,Communication,Green Banana Studio,"1,000,000 - 5,000,000",10 October 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Lock screen password,Tools,Green Banana Studio,"500,000 - 1,000,000",12 April 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Gallery Lock Pro(Hide picture),Tools,Morrison Software,"100,000 - 500,000",9 September 2015,Rated for 3+,4.6,5 (4.1 - 5.0)
Photo & Video Locker,Tools,Innorriors,"1,000,000 - 5,000,000",9 August 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Gallery,Tools,IKM Studio,"500,000 - 1,000,000",21 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Perfect App Lock Pro,Tools,Morrison Software,"50,000 - 100,000",24 October 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
App lock - Real Fingerprint,Tools,Kohinoor Apps,"500,000 - 1,000,000",20 January 2017,Rated for 3+,4.0,4 (3.1 - 4.0)
Hide Pictures Keep Safe Vault,Photography,Keepsafe,"10,000,000 - 50,000,000",20 December 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
"Kalculator, Hide Photos&Videos",Photography,Keepsafe,"100,000 - 500,000",5 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
FingerPrint Lock Screen Prank,Tools,simox,"500,000 - 1,000,000",12 July 2016,Rated for 3+,3.4,4 (3.1 - 4.0)
Smart AppLock Pro,Tools,ThinkYeah Mobile (AppLock & GalleryVault),"10,000 - 50,000",10 May 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Secret Photo Hide -Photo Vault,Tools,kikdots,"1,000 - 5,000",4 October 2016,Rated for 3+,4.7,5 (4.1 - 5.0)
Hexlock App Lock & Photo Vault,Tools,Liquidum Limited,"1,000,000 - 5,000,000",23 November 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Applock & Hide,Tools,fineArt,"1,000,000 - 5,000,000",1 October 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
AppLock,Personalisation,Keemii Mobile,"100,000 - 500,000",16 July 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
AppLock Theme Car,Personalisation,App Lock Team,"50,000 - 100,000",26 June 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
Solo AppLock-DIY&Privacy Guard,Personalisation,newborntown,"1,000,000 - 5,000,000",31 May 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
AppLock Theme - Supernatural,Personalisation,Leomaster Inc.,"1,000,000 - 5,000,000",26 May 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
AppLock Theme Pink,Personalisation,AppLock@DoMobile,"5,000,000 - 10,000,000",14 September 2014,Rated for 3+,4.0,4 (3.1 - 4.0)
AppLock Theme - Loving Heart,Personalisation,AppLock theme inc,"50,000 - 100,000",16 November 2015,Rated for 3+,4.4,5 (4.1 - 5.0)
AppLock Theme - Deep Forest,Personalisation,Leomaster Inc.,"500,000 - 1,000,000",26 August 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
AppLock,Personalisation,Dream-Droid,"10,000 - 50,000",16 January 2016,Rated for 3+,3.6,4 (3.1 - 4.0)
AppLock Theme -Sweet Kisses,Personalisation,Leomaster Inc.,"1,000,000 - 5,000,000",29 May 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
AppLock Theme Lavender,Personalisation,AppLock@DoMobile,"500,000 - 1,000,000",17 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
AppLock Theme - Lamborghini,Personalisation,Leomaster Inc.,"1,000,000 - 5,000,000",6 May 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Next Launcher 3D Shell,Personalisation,GO Dev Team @ Android,"100,000 - 500,000",11 July 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Nova Launcher Prime,Personalisation,TeslaCoil Software,"1,000,000 - 5,000,000",15 December 2016,Rated for 3+,4.8,5 (4.1 - 5.0)
Smart Launcher Pro 3,Personalisation,Smart Launcher Team,"100,000 - 500,000",17 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
App Lock Pro,Tools,ASB TECH INFO PVT LTD,"500,000 - 1,000,000",13 October 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
App Lock,Tools,NewSoftwares.net,"100,000 - 500,000",2 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Keep My Notes: Wordpad & Diary,Productivity,LiteWhite,"1,000,000 - 5,000,000",19 December 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
ListNote Pro Notepad,Productivity,Khymaera,"10,000 - 50,000",8 November 2015,Rated for 3+,4.4,5 (4.1 - 5.0)
Evernote - stay organized.,Productivity,Evernote Corporation,"100,000,000 - 500,000,000",23 December 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
Handrite note Notepad Pro,Productivity,NC Corp.,"10,000 - 50,000",18 December 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Handrite Note Notepad Lite,Productivity,NC Corp.,"5,000,000 - 10,000,000",18 December 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
My Notes - Notepad,Productivity,KreoSoft,"500,000 - 1,000,000",6 December 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
ListNote Speech-to-Text Notes,Productivity,Khymaera,"1,000,000 - 5,000,000",8 November 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Notepad for notes,Productivity,Flashlight Arts,"50,000 - 100,000",24 October 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Raloco Notes,Productivity,Kenzap Ltd,"500,000 - 1,000,000",8 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Notepad,Productivity,Splend Apps,"100,000 - 500,000",11 October 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
Notepad,Productivity,Moris,"100,000 - 500,000",19 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Notepad,Productivity,Dmitry Korotkov,"1,000,000 - 5,000,000",1 May 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
AppLock Security: PIP Lock,Photography,Fantastic Droid,"10,000 - 50,000",29 June 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
Photo Collage - Collage Studio,Photography,Coocent,"100,000 - 500,000",3 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Collage Maker,Photography,Leap Fitness Group,"500,000 - 1,000,000",19 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Photo Diary,Photography,TAIKI SOFT,"1,000 - 5,000",29 December 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Photo Collage Maker,Photography,Ingenuity Club,"1,000 - 5,000",30 December 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Joint Pics,Photography,SE_3,"100,000 - 500,000",29 August 2014,Rated for 3+,4.1,5 (4.1 - 5.0)
Double Exposure - Blend 2 Pics,Photography,Tools Group,"100,000 - 500,000",10 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Picture Blender Photo Editor,Photography,Thalia Photo Art Studio,"100,000 - 500,000",27 December 2016,Rated for 3+,3.5,4 (3.1 - 4.0)
Stitchcraft Free,Photography,Zheteng,"5,000 - 10,000",13 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Photo Collage Scrapbook (Free),Photography,"ELECOM CO.,LTD.","100,000 - 500,000",7 October 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Make Me Slim Photo Editor,Photography,Siya Atkinson,"100,000 - 500,000",27 July 2016,Rated for 3+,2.9,3 (2.1 - 3.0)
Photo Blender Editing Effects,Photography,Virtual Art Design,"100,000 - 500,000",1 December 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
Pic Collage Maker Photo Editor,Photography,Pixelbox - Grid & Collage & Layout & Photo Editor,"1,000,000 - 5,000,000",21 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Foto Collage Maker Photo Grid,Photography,riki,"50,000 - 100,000",5 August 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Photomontage,Photography,Dreamers,"1,000,000 - 5,000,000",18 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
MyAppSharer,Tools,Jones Chi,"5,000,000 - 10,000,000",30 September 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Bluetooth App Sender,Tools,Marsoft,"5,000,000 - 10,000,000",1 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Bluetooth App Sender APK Share,Tools,Clogica,"1,000,000 - 5,000,000",16 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Share App,Tools,App Attitude,"500,000 - 1,000,000",6 April 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Share Apps,Tools,Onex Softech,"500,000 - 1,000,000",7 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Share Apps,Tools,tattobr,"1,000,000 - 5,000,000",5 September 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
App Lock Pro,Tools,softwego,"1,000 - 5,000",7 July 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Love AppLock,Tools,AppLock Inc.,"1,000,000 - 5,000,000",22 November 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
New AppLock,Tools,com.amazing.kincan,"1,000,000 - 5,000,000",2 September 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
AppLock Security,Tools,Michael Ramey,"1,000,000 - 5,000,000",10 November 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
My Photo AppLock - Privacy&DIY,Tools,Happy Tools Patrol,"500,000 - 1,000,000",18 April 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
MP3 Cutter and Ringtone Maker,Music & Audio,Lakshmanan Anbalagan,"5,000,000 - 10,000,000",1 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Ringtone Maker Mp3 Editor,Music & Audio,Mobile_V5,"10,000,000 - 50,000,000",18 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Mp3 Cutter & Merger,Music & Audio,Igost Technologies Pvt Ltd,"5,000,000 - 10,000,000",25 October 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
Audio MP3 Cutter Mix Converter,Music & Audio,AppzCloud Technologies,"1,000,000 - 5,000,000",19 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
MP3 Cutter and Joiner,Music & Audio,#PlayMusic,"1,000,000 - 5,000,000",24 August 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
MP3 Cutter & Ringtone Maker,Music & Audio,XCS Technologies,"5,000,000 - 10,000,000",1 September 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Ringtone Cutter,Music & Audio,MooboHalbert,"1,000,000 - 5,000,000",5 May 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Music Trimmer,Music & Audio,inglesdivino,"1,000,000 - 5,000,000",24 June 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
MP3 Cutter Ringtone Maker Free,Music & Audio,Clogica,"1,000,000 - 5,000,000",20 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
MP3 Ringtone Maker,Music & Audio,Luckysalix,"1,000,000 - 5,000,000",18 September 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Ringtone Maker Pro,Music & Audio,Dongfu He,"10,000 - 50,000",27 October 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
MP3 Cutter and Ringtone Maker,Music & Audio,Andara Studio,"50,000 - 100,000",30 October 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Music Cutter Ringtone Maker,Music & Audio,Osa Mac,"100,000 - 500,000",10 July 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
MP3 Cutter & Ringtone Maker,Music & Audio,Super Devs,"10,000 - 50,000",26 November 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
SMS MMS Messenger,Social,Lakshmanan Anbalagan,"1,000,000 - 5,000,000",14 May 2014,Rated for 3+,3.9,4 (3.1 - 4.0)
Face recognition,Libraries & Demo,Lakshmanan Anbalagan,"100,000 - 500,000",26 December 2016,Rated for 3+,3.3,4 (3.1 - 4.0)
Video Editor -Video Cutter,Education,Lakshmanan Anbalagan,"500 - 1,000",23 November 2016,Rated for 3+,3.0,3 (2.1 - 3.0)
DJI Face Recognition by Drones,Education,Lakshmanan Anbalagan,100 - 500,26 December 2016,Rated for 3+,3.0,3 (2.1 - 3.0)
Overlay Library Demo,Tools,Lakshmanan Anbalagan,"1,000 - 5,000",15 June 2014,Unrated,4.5,5 (4.1 - 5.0)
Quick Settings,Tools,Lakshmanan Anbalagan,"5,000 - 10,000",13 February 2014,Unrated,3.6,4 (3.1 - 4.0)
Social Network Album Viewer,Social,Lakshmanan Anbalagan,"1,000 - 5,000",15 June 2014,Rated for 12+,4.2,5 (4.1 - 5.0)
3D animation with OpenGLES,Libraries & Demo,Lakshmanan Anbalagan,"5,000 - 10,000",23 January 2013,Unrated,2.6,3 (2.1 - 3.0)
Currency Converter,Finance,Lakshmanan Anbalagan,"500 - 1,000",19 February 2013,Unrated,3.0,3 (2.1 - 3.0)
Location Finder,Travel & Local,Lakshmanan Anbalagan,"1,000 - 5,000",17 April 2011,Rated for 3+,4.5,5 (4.1 - 5.0)
Music player,Music & Audio,Green Apple Studio,"10,000,000 - 50,000,000",15 October 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
WavePad Audio Editor Free,Music & Audio,NCH Software,"1,000,000 - 5,000,000",1 June 2016,Rated for 3+,3.6,4 (3.1 - 4.0)
Music Player - Mp3 Player,Music & Audio,Music Hero - Best Free music & audio app developer,"5,000,000 - 10,000,000",14 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Star Music Tag Editor,Music & Audio,Star Music Studio,"1,000,000 - 5,000,000",14 November 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
MP3 Player,Music & Audio,maxound,"10,000,000 - 50,000,000",7 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
"Cutting Mp3, Play Mp3",Music & Audio,Green Banana,"500,000 - 1,000,000",1 April 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
MP3 player,Music & Audio,Accountstudio,"10,000,000 - 50,000,000",2 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
AudioDroid : Audio Mix Studio,Music & Audio,FSM SOFT,"1,000,000 - 5,000,000",17 January 2017,Rated for 3+,3.5,4 (3.1 - 4.0)
MP3 Merger  MP3 Cutter,Music & Audio,maxound,"100,000 - 500,000",28 September 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Fast Mp3 Cutter and Joiner,Music & Audio,The AppGuru,"50,000 - 100,000",8 November 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
MP3 Audio Merger and Joiner,Music & Audio,Clogica,"100,000 - 500,000",15 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
djay FREE - DJ Mix Remix Music,Music & Audio,Algoriddim,"10,000,000 - 50,000,000",8 September 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Audio Recorder and Editor,Music & Audio,rierie501,"500,000 - 1,000,000",18 July 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Music Video Editor Add Audio,Video Players & Editors,AppzCloud Technologies,"100,000 - 500,000",25 October 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Video Speed Slow Motion & Fast,Personalisation,AppzCloud Technologies,"1,000,000 - 5,000,000",18 January 2017,Rated for 3+,3.3,4 (3.1 - 4.0)
Video Popup Player Floating,Video Players & Editors,AppzCloud Technologies,"100,000 - 500,000",19 January 2017,Rated for 3+,3.9,4 (3.1 - 4.0)
Reverse Video Movie Camera Fun,Video Players & Editors,AppzCloud Technologies,"100,000 - 500,000",14 January 2017,Rated for 3+,3.4,4 (3.1 - 4.0)
Photo Editor Text Fonts Effect,Personalisation,AppzCloud Technologies,"100,000 - 500,000",23 November 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
PicsVideo PhotoMusic Slideshow,Personalisation,AppzCloud Technologies,"1,000,000 - 5,000,000",30 December 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Merge Video Editor Join Trim,Video Players & Editors,AppzCloud Technologies,"50,000 - 100,000",16 December 2016,Rated for 3+,3.4,4 (3.1 - 4.0)
Video MP3 Converter Cut Music,Video Players & Editors,AppzCloud Technologies,"100,000 - 500,000",3 December 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Video Editor Trim Cut Add Text,Video Players & Editors,AppzCloud Technologies,"100,000 - 500,000",30 December 2016,Rated for 3+,3.1,4 (3.1 - 4.0)
Music Videos Movie For YouTube,Music & Audio,AppzCloud Technologies,"100,000 - 500,000",7 November 2016,Rated for 12+,4.0,4 (3.1 - 4.0)
Animated Full Screen Caller ID,Lifestyle,AppzCloud Technologies,"50,000 - 100,000",30 December 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
Mobile Data Wifi HotSpot Free,Communication,AppzCloud Technologies,"10,000 - 50,000",20 January 2017,Rated for 3+,3.7,4 (3.1 - 4.0)
Video Converter Flip Compress,Video Players & Editors,AppzCloud Technologies,"1,000 - 5,000",5 January 2017,Rated for 3+,3.7,4 (3.1 - 4.0)
Music Pics Transfer iTunes Apk,Tools,AppzCloud Technologies,"10,000 - 50,000",1 April 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Remote Tube Videos for YouTube,Entertainment,AppzCloud Technologies,"5,000 - 10,000",18 January 2017,Rated for 12+,3.6,4 (3.1 - 4.0)
Audio Cutter And Joiner,Music & Audio,The AppGuru,"50,000 - 100,000",8 November 2016,Rated for 3+,3.4,4 (3.1 - 4.0)
MP3 Cutter & Ringtone Maker,Music & Audio,Midox-SM,"50,000 - 100,000",28 September 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
MP3 music download player pro,Music & Audio,mobofan,"500,000 - 1,000,000",28 September 2014,Rated for 3+,3.9,4 (3.1 - 4.0)
MP3 Merger : Joiner,Music & Audio,Lucky Apps Solutions,"50,000 - 100,000",9 August 2016,Rated for 3+,2.8,3 (2.1 - 3.0)
Gold Live Price India,Finance,Igost Technologies Pvt Ltd,"100,000 - 500,000",25 October 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Mp3 Cutter & Ringtone Maker,Music & Audio,Igost Technologies Pvt Ltd,"100,000 - 500,000",25 October 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Language translator,Tools,Igost Technologies Pvt Ltd,"500,000 - 1,000,000",25 October 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
Block Puzzle Pop,Puzzle,Igost Technologies Pvt Ltd,"100,000 - 500,000",13 July 2015,Rated for 3+,4.3,5 (4.1 - 5.0)
EMI Calculator,Finance,Igost Technologies Pvt Ltd,"10,000 - 50,000",10 July 2014,Rated for 3+,4.3,5 (4.1 - 5.0)
Location Alert,Productivity,Igost Technologies Pvt Ltd,"10,000 - 50,000",11 July 2014,Rated for 3+,3.9,4 (3.1 - 4.0)
Real Drums Play ( Drum Kit ),Music & Audio,Igost Technologies Pvt Ltd,"10,000 - 50,000",3 January 2014,Rated for 3+,3.8,4 (3.1 - 4.0)
Trip Planner,Travel & Local,Igost Technologies Pvt Ltd,"50,000 - 100,000",4 July 2014,Rated for 3+,3.7,4 (3.1 - 4.0)
Health Club Finder,Health & Fitness,Igost Technologies Pvt Ltd,"5,000 - 10,000",10 July 2014,Rated for 3+,3.3,4 (3.1 - 4.0)
Tic Tac Toe Free(Multiplayer),Casual,Igost Technologies Pvt Ltd,"10,000 - 50,000",10 July 2014,Rated for 3+,3.7,4 (3.1 - 4.0)
Stop Watch,Tools,Igost Technologies Pvt Ltd,"5,000 - 10,000",11 July 2014,Rated for 3+,3.9,4 (3.1 - 4.0)
Love Frames,Photography,Igost Technologies Pvt Ltd,"100,000 - 500,000",26 May 2013,Rated for 3+,4.2,5 (4.1 - 5.0)
Kids Matching Game,Puzzle,Igost Technologies Pvt Ltd,"50,000 - 100,000",30 January 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Shopping List,Shopping,Igost Technologies Pvt Ltd,"5,000 - 10,000",10 July 2014,Rated for 3+,4.0,4 (3.1 - 4.0)
Instant Heart Rate,Health & Fitness,Igost Technologies Pvt Ltd,"10,000 - 50,000",25 October 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Music Mixer & Player,Music & Audio,Music Amp,"50,000 - 100,000",3 September 2015,Rated for 3+,3.6,4 (3.1 - 4.0)
DJ Song Mixer,Music & Audio,Bhargav Apps,"10,000 - 50,000",22 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
5000+ Hindi Whatsapp Status,Entertainment,#PlayMusic,"100,000 - 500,000",17 November 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
1500+ Technical Round QA 2015,Education,#PlayMusic,"10,000 - 50,000",7 August 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Ultra HD Video Player,Video Players & Editors,#PlayMusic,"1,000 - 5,000",2 September 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Video Editor,Tools,#PlayMusic,"100,000 - 500,000",12 May 2016,Rated for 3+,3.4,4 (3.1 - 4.0)
Thi Music Player,Music & Audio,#PlayMusic,"50,000 - 100,000",2 September 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Ringtone Editor - MP3 Cutter,Music & Audio,W2C,"100,000 - 500,000",25 June 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Ringdroid- RingMaker MP3Cutter,Music & Audio,Kenny Play,"100,000 - 500,000",25 November 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
